Country ,Continent,female literacy,fertility,population
Chine,ASI,90.5,1.769,1324655000.00
Inde,ASI,50.8,2.682,1139964931.64
USA,NAM,99,2.077,304060000.00
Indonésie,ASI,88.8,2.132,227345082.00
Brésil,LAT,90.2,1.827,191971506.00
Pakistan,ASI,40,3.872,166111487.12
Bangladesh,ASI,49.8,2.288,160000128.00
Nigéria,AF,48.8,5.173,151212254.00
Fédération de Russie,EUR,99.4,1.393,141950000.00
Japan,ASI,99,1.262,127704000.00
Mexique,LAT,91.5,2.156,106350433.68
Philippines,ASI,93.9,3.026,90348437.00
Viet Nam,ASI,90.2,2.033,86210781.00
Germany,EUR,99,1.324,82110097.00
Egypte,AF,57.8,2.816,81527172.00
Ethiopie,AF,22.8,5.211,80713434.00
Turquie,ASI,81.3,2.1,73914260.00
"Iran, République islamique d'",ASI,77.2,1.781,71956321.69
Thaïlande,ASI,91.5,1.822,67386383.00
Rép. Démocratique du Congo,AF,56.1,5.908,64256635.00
France,EUR,99,1.881,62277432.00
UK,EUR,99,1.852,61414062.00
Italie,EUR,98.5,1.39,59832179.00
Myanmar,ASI,89.2,2.281,49563019.00
Afrique du Sud,AF,88.1,2.505,48687000.00
South Korea,ASI,96.6,1.224,48607000.00
Ukraine,EUR,99.6,1.361,46258200.00
Espagne,EUR,96.9,1.468,45555716.00
Colombie,LAT,93.4,2.404,45012096.00
République-Unie de Tanzanie,AF,66.3,5.52,42483923.00
Soudan,AF,59.6,4.058,41347723.00
Argentine,LAT,97.7,2.223,39882980.00
Kenya,AF,82.8,4.859,38765312.00
Pologne,EUR,99.3,1.267,38125759.00
Algérie,AF,63.9,2.342,34373426.00
Canada,NAM,99,1.579,33311400.00
Ouganda,AF,66.8,6.254,31656865.00
Maroc,AF,44.1,2.334,31605616.00
Iraq,ASI,69.2,3.961,30711152.29
Afghanistan,ASI,12.6,6.505,29021099.00
Pérou,LAT,84.6,2.53,28836700.00
Népal,ASI,45.4,2.823,28809526.00
Venezuela,LAT,94.9,2.498,27935000.00
Ouzbékistan,ASI,98.9,2.248,27313700.00
Malaisie,ASI,89.8,2.508,27014337.00
Arabie saoudite,ASI,80.2,3.04,24645685.92
Rép. populaire démocratique de Corée,ASI,100,1.854,23818753.00
Ghana,AF,59.3,4.22,23350927.00
Yémen,ASI,42.8,5.1,22917485.00
Mozambique,AF,40.1,4.967,22382533.00
Roumanie,EUR,96.9,1.325,21513622.00
Côte d'Ivoire,AF,44.3,4.514,20591302.00
République arabe syrienne,ASI,77.2,3.173,20581289.87
Sri Lanka,ASI,89.1,2.308,20156204.34
Madagascar,AF,65.3,4.62,19110941.00
Cameroun,AF,67.8,4.541,19088385.00
Angola,AF,57,5.637,18020668.00
Chili,LAT,98.7,1.926,16803952.00
Netherlands,EUR,99,1.747,16445593.00
Kazakhstan,ASI,99.5,2.294,15674833.00
Burkina Faso,AF,21.6,5.841,15233884.00
Malawi,AF,65.8,5.455,14846182.00
Niger,AF,15.1,7.069,14704318.00
Cambodge,ASI,70.9,2.859,14562008.00
Guatemala,LAT,68.7,4.018,13686128.00
Equateur,LAT,81.7,2.513,13481424.00
Mali,AF,18.2,5.405,12705736.00
Zambie,AF,61,5.737,12620219.00
Zimbabwe,AF,88.8,3.363,12462879.00
Sénégal,AF,33,4.89,12211181.00
Grèce,EUR,95.9,1.385,11237094.00
Cuba,LAT,99.8,1.505,11204735.00
Tchad,AF,21.9,6.081,10913667.00
Belgium,EUR,99,1.784,10708433.00
Portugal,EUR,92.9,1.378,10622413.00
Czech rep,EUR,99,1.45,10424336.00
Tunisie,AF,71,1.841,10327800.00
Hongrie,EUR,98.9,1.37,10038188.00
République dominicaine,LAT,88.3,2.612,9952711.00
Guinée,AF,26.4,5.329,9833055.00
Rwanda,AF,66.1,5.33,9720694.00
Bolivie,LAT,86,3.371,9694113.00
Bélarus,EUR,99.7,1.281,9680850.00
Sweden,EUR,99,1.871,9219637.00
Azerbaïdjan,ASI,99.2,2.153,8680100.00
Bénin,AF,28.1,5.378,8662086.00
Burundi,AF,59.9,4.45,8074254.00
Switzerland,EUR,99,1.46,7647675.00
Bulgarie,EUR,97.9,1.436,7623395.00
Serbie,EUR,96.2,1.612,7350221.00
Honduras,LAT,83.5,3.19,7318789.00
Israel,ASI,95.9,2.752,7308800.00
Tadjikistan,ASI,99.5,3.35,6836083.00
Papouasie-Nouvelle-Guinée,OCE,55.6,4.01,6576822.00
Togo,AF,53.7,4.166,6458605.00
Jamahiriya arabe libyenne,AF,81.3,2.642,6294181.00
Paraguay,LAT,93.5,2.977,6237855.00
Rép. démocratique populaire lao,ASI,63.2,3.415,6205341.00
El Salvador,LAT,81.4,2.295,6133910.00
Jordanie,ASI,88.9,3.019,5906042.87
Nicaragua,LAT,77.9,2.683,5667325.00
Sierra Leone,AF,28.9,5.165,5559853.00
Denmark,EUR,99,1.849,5493621.00
Finland,EUR,100,1.836,5313399.00
Kirghizistan,ASI,99.1,2.518,5277900.00
Turkménistan,ASI,99.3,2.43,5043618.00
Erythrée,AF,54.5,4.528,4926877.00
Singapour,ASI,91.6,1.263,4839400.00
Norway,EUR,100,1.885,4768212.00
Costa Rica,LAT,96.2,1.943,4519126.00
Emirats arabes unis,ASI,91.5,1.899,4484935.00
Croatie,EUR,98,1.442,4434000.00
Ireland,EUR,99,1.953,4425675.00
République centrafricaine,AF,41.1,4.697,4339263.00
Géorgie,ASI,99.7,1.582,4307011.00
New Zealand,OCE,99,2.025,4268900.00
Liban,ASI,86,1.841,4193758.00
Libéria,AF,53,5.011,3793400.00
Bosnie-Herzégovine,EUR,95.9,1.212,3773100.00
République de Moldova,EUR,97.8,1.502,3633369.00
Panama,LAT,92.8,2.516,3398823.00
Lituanie,EUR,99.7,1.367,3358115.00
Uruguay,LAT,98.5,2.089,3334052.00
Mauritanie,AF,49.5,4.388,3215043.00
Albanie,EUR,98.7,1.854,3143291.00
Arménie,ASI,99.4,1.748,3077087.00
Oman,ASI,80.9,2.978,2785361.00
Koweït,ASI,93.1,2.152,2728040.84
Jamaïque,LAT,90.8,2.362,2687200.00
Mongolie,ASI,97.8,1.988,2641216.00
Lettonie,EUR,99.8,1.426,2266094.00
Namibie,AF,87.7,3.29,2129854.00
Lesotho,AF,95.1,3.264,2049429.00
L'ex-Rép. yougoslave de Macédoine,EUR,95.4,1.436,2041342.00
Slovénie,EUR,99.7,1.393,2021316.00
Botswana,AF,83.5,2.822,1921122.00
Gambie,AF,34.3,4.969,1660200.00
Guinée-Bissau,AF,36.5,5.659,1575446.00
Gabon,AF,83.2,3.24,1448159.00
Estonie,EUR,99.8,1.693,1340675.00
Trinité-et-Tobago,LAT,98.2,1.647,1333388.00
Qatar,ASI,90.4,2.36,1280862.00
Maurice,AF,84.8,1.792,1268854.00
Swaziland,AF,85.6,3.45,1167834.00
Chypre,EUR,96.7,1.516,862434.00
Bahreïn,ASI,89.4,2.233,775585.00
Bhoutan,ASI,38.7,2.563,686789.00
Guinée équatoriale,AF,89.1,5.283,659197.00
Comores,AF,67.8,3.885,643571.31
"Macao, Chine",ASI,90.7,0.966,526178.00
Suriname,LAT,88.4,2.373,515124.00
Cap-Vert,AF,79.3,2.663,498672.00
Malte,EUR,93.5,1.251,411950.00
Brunéi Darussalam,ASI,93.3,2.052,392280.00
Bahamas,LAT,96.5,3.371,337668.00
Iceland,EUR,99,2.093,317414.00
Maldives,ASI,98.4,2,305027.00
Vanuatu,OCE,79.5,3.883,233866.00
Samoa,OCE,98.5,3.852,178869.00
Sao Tomé-et-Principe,AF,83.3,3.718,160174.00
Aruba,LAT,98,1.732,105455.00
Tonga,ASI,99.1,3.928,103566.00
